keys,en,ko
CARD_ROCK_NAME,Rock,바위
CARD_PAPER_NAME,Paper,보
CARD_SCISSORS_NAME,Scissors,가위
CARD_BLANK_NAME,Blank,공백
CARD_JOKER_NAME,Joker,조커
CARD_RESET_NAME,Reset,리셋
CARD_SWAP_NAME,Swap,교체
CARD_TRANSFORM_NAME,Transform,변화
CARD_DRAW_NAME,Draw,드로우
CARD_ROCK_DESCRIPTION,"A normal card. Beats Scissors. Returns to the bottom of your deck after use, win or lose.",가위를 이기는 일반 카드. 승패와 관계없이 사용 후 덱 바닥으로 복귀한다.
CARD_PAPER_DESCRIPTION,"A normal card. Beats Rock. Returns to the bottom of your deck after use, win or lose.",바위를 이기는 일반 카드. 승패와 관계없이 사용 후 덱 바닥으로 복귀한다.
CARD_SCISSORS_DESCRIPTION,"A normal card. Beats Paper. Returns to the bottom of your deck after use, win or lose.",보를 이기는 일반 카드. 승패와 관계없이 사용 후 덱 바닥으로 복귀한다.
CARD_BLANK_DESCRIPTION,Vanishes with no effect. A scouting card: it shows you what your opponent played this round without spending anything that matters.,"효과 없이 소멸하는 카드. 내 카드를 소모하지 않으면서 상대가 이번 라운드에 뭘 냈는지 확인하는 ""패 까기""용 카드."
CARD_JOKER_DESCRIPTION,Resolves before every other card. Vanishes the card your opponent played this round and blocks its effect. Vanishes itself as well.,다른 카드 효과보다 먼저 처리되는 최우선 소멸 카드. 상대가 이번 라운드에 제출한 카드를 소멸시키고 그 효과 발동을 막는다. 조커 자신도 사용 후 함께 소멸한다.
CARD_RESET_DESCRIPTION,Both players shuffle their hand into their deck and draw back up to the same number. The only card that reaches across the table. Vanishes after use.,"나와 상대 둘 다 패를 덱에 넣고 셔플한 뒤, 각자 원래 패 수만큼 다시 드로우한다. 유일하게 상대에게도 영향을 주는 카드. 효과 발동 후 소멸한다."
CARD_SWAP_DESCRIPTION,"Shuffle up to 2 cards from your hand into your deck, then draw that many. Vanishes after use.","패에서 최대 2장까지 덱에 넣고 셔플한 뒤, 그만큼 다시 드로우한다. 효과 발동 후 소멸한다."
CARD_TRANSFORM_DESCRIPTION,Change one normal or blank card in your hand into any normal or blank card. Vanishes after use.,패에 있는 일반 카드 또는 공백 카드 1장을 원하는 카드(일반 카드 또는 공백 카드)로 바꾼다. 효과 발동 후 소멸한다.
CARD_DRAW_DESCRIPTION,Draw 2 cards. Vanishes after use.,카드 2장을 뽑는다. 효과 발동 후 소멸한다.
CARD_TYPE_NORMAL,Normal Card,일반카드
CARD_TYPE_BLANK,Blank Card,공백카드
CARD_TYPE_JOKER,Joker Card,조커카드
CARD_TYPE_ABILITY,Ability Card,능력카드
TITLE_PLAY,Play,대전
TITLE_QUIT,Quit,종료
